src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
100.123.225.126,100.121.79.73,22,30857,6,2026-05-07 10:00:18,31916988.0,338.2524691866288,4.261053705944934,2.2245206847212526,2.036533021223682,71,65,7250,3546,230.0,90.0,102.11267605633803,19.259202516488507,66.0,54.0,54.55384615384615,2.5178181594435425,230,54,79.38235294117646,27.586777209681614,761.030276816609,1420,1300,20,71,236422.13333333333,2057552.0,47.0,192303.7419232166,31916988.0,2098480.0,64.0,455956.97142857144,263819.6180053426,31661632.0,2763528.0,13440.0,494713.0,326802.4238339103,0,0,0,0,1,0,0,0,0,0,0,0.9154929577464789,79.38235294117646,503,252,2057488.0000000002,1451.0,169309.75,290072.85261291725,2044021.0,5760.0,137565.78787878787,255170.91148076556,1708.0,35.5,0.0,0.0,114.5597224381582,0.0,102.11267605633803,54.55384615384615,0,71,65,7250,3546
100.121.79.73,100.123.225.126,17636,80,6,2026-05-07 10:00:19,1517542.0,7077.893066551042,17.791929317277546,9.22544483118095,8.566484486096597,14,13,1023,9718,145.0,66.0,73.07142857142857,20.264198851719772,2522.0,54.0,747.5384615384615,1044.9647484215855,2522,54,397.81481481481484,799.7110143340454,639537.7064471879,280,260,20,1,58367.0,568334.0,3.0,123419.27348551484,1516593.0,568334.0,9.0,116661.0,164563.87092881877,1517349.0,812044.0,3.0,126445.75,218813.95960881357,0,0,0,0,1,0,0,0,0,0,0,0.9285714285714286,397.81481481481484,64480,0,220577.0,193.0,88488.16666666667,85153.83335551541,325573.0,16161.0,156982.42857142858,108805.10614443626,0.0,0.0,8840.0,6.0,0.0,110732.53833049403,73.07142857142857,747.5384615384615,0,14,13,1023,9718
100.121.79.73,100.123.225.126,17644,80,6,2026-05-07 10:00:19,1580987.0,6793.857254993242,17.07793928729332,8.855227778596536,8.222711508696783,14,13,1023,9718,145.0,66.0,73.07142857142857,20.264198851719772,2522.0,54.0,747.5384615384615,1044.9647484215855,2522,54,397.81481481481484,799.7110143340454,639537.7064471879,280,260,20,1,60807.192307692305,573887.0,3.0,124824.1092300618,1580971.0,573887.0,9.0,121613.15384615384,159462.98728151797,1580967.0,816683.0,3.0,131747.25,223516.07959836096,0,0,0,0,1,0,0,0,0,0,0,0.9285714285714286,397.81481481481484,64480,0,246887.0,20.0,109809.0,93738.96906988957,514807.0,16126.0,191787.14285714287,156585.83734847305,0.0,0.0,8840.0,6.0,0.0,73760.09612175422,73.07142857142857,747.5384615384615,0,14,13,1023,9718
100.121.79.73,100.123.225.126,17656,80,6,2026-05-07 10:00:19,10651402.0,2106.9526809710123,4.600333364565529,2.534877568229985,2.0654557963355438,27,22,2059,20383,145.0,66.0,76.25925925925925,24.568261055743346,2522.0,54.0,926.5,1080.5090866640764,2522,54,458.0,838.6666531477455,703361.7551020408,540,440,20,3,221904.20833333334,7778135.0,2.0,1109983.249856144,10651402.0,7778181.0,9.0,409669.3076923077,1483957.5568315436,10461554.0,7778190.0,2.0,498169.2380952381,1643580.3438975448,0,0,0,0,1,0,0,0,0,0,0,0.8148148148148148,458.0,64480,508,7778080.0,45.0,828779.8333333334,2104537.6841168245,7778089.0,8298.0,675671.4,1906329.746982538,0.0,0.0,8837.5,5.5,0.0,216661.1505411932,76.25925925925925,926.5,0,27,22,2059,20383
100.121.79.73,100.123.225.126,17668,80,6,2026-05-07 10:00:19,10651809.0,1965.6755016917784,4.224634519826632,2.253138410574204,1.9714961092524284,24,21,1849,19089,145.0,66.0,77.04166666666667,25.875469668308547,2522.0,54.0,909.0,1102.8860408254423,2522,54,465.2888888888889,860.3837805750078,740260.2498765432,480,420,20,3,242086.56818181818,7840985.0,3.0,1166927.1919865478,10651809.0,7841037.0,11.0,463122.1304347826,1584150.9407722459,10474091.0,7841080.0,3.0,523704.55,1694497.918352232,0,0,0,0,1,0,0,0,0,0,0,0.875,465.2888888888889,64480,508,7840890.0,170.0,890419.0,2207395.1041333354,7840933.0,16757.0,712272.6428571428,1981589.9446088958,0.0,0.0,8837.5,5.5,0.0,221219.55493253897,77.04166666666667,909.0,0,24,21,1849,19089
100.121.79.73,100.123.225.126,17682,80,6,2026-05-07 10:00:19,2455376.0,4406.657065964643,10.996279184939498,5.70177439219085,5.294504792748647,14,13,1102,9718,145.0,66.0,78.71428571428571,27.290575483197156,2522.0,54.0,747.5384615384615,1044.9647484215855,2522,54,400.74074074074076,798.6354377400655,637818.562414266,280,260,20,2,94437.53846153847,960303.0,3.0,203432.6520303333,2455315.0,960303.0,21.0,188870.38461538462,267629.89733572176,2455354.0,1040603.0,3.0,204612.83333333334,295881.39898779074,0,0,0,0,1,0,0,0,0,0,0,0.9285714285714286,400.74074074074076,64480,0,483646.0,22.0,158919.0,145639.95276316573,880064.0,57202.0,296098.85714285716,271548.95588216477,0.0,0.0,8840.0,6.0,0.0,52763.519159603675,78.71428571428571,747.5384615384615,0,14,13,1102,9718
100.121.79.73,100.123.225.126,17684,80,6,2026-05-07 10:00:19,1947011.0,5461.705147017659,12.326586752719939,6.6769011577233,5.6496855949966385,13,11,1036,9598,145.0,66.0,79.6923076923077,28.083350160068466,2522.0,66.0,872.5454545454545,1090.3703594014087,2522,66,443.0833333333333,837.4997470978059,701405.8263888889,260,220,20,2,84652.65217391304,456605.0,3.0,140783.40905358337,1947011.0,456681.0,73.0,162250.91666666666,172787.89647737597,1614998.0,637113.0,3.0,161499.8,214674.10028869341,0,0,0,0,1,0,0,0,0,0,0,0.8461538461538461,443.0833333333333,64480,508,456549.0,12.0,168978.875,173257.48566976658,456529.0,12759.0,210476.0,169652.7362695633,0.0,0.0,8840.0,6.0,0.0,29342.742484241553,79.6923076923077,872.5454545454545,0,13,11,1036,9598
100.121.79.73,100.123.225.126,17690,80,6,2026-05-07 10:00:19,1850629.0,5746.154415606801,12.96856366132812,7.024638649886065,5.943925011442055,13,11,1036,9598,145.0,66.0,79.6923076923077,28.083350160068466,2522.0,66.0,872.5454545454545,1090.3703594014087,2522,66,443.0833333333333,837.4997470978059,701405.8263888889,260,220,20,2,80462.13043478261,538567.0,3.0,143321.99253499229,1850629.0,538647.0,36.0,154219.08333333334,179830.12926762222,1460978.0,576102.0,3.0,146097.8,190454.28790069284,0,0,0,0,1,0,0,0,0,0,0,0.8461538461538461,443.0833333333333,64480,508,538517.0,160.0,214278.83333333334,175196.16597442675,538487.0,72376.0,279140.6666666667,154772.18155584534,0.0,0.0,8840.0,6.0,0.0,29265.127488694525,79.6923076923077,872.5454545454545,0,13,11,1036,9598
100.121.79.73,100.123.225.126,17700,80,6,2026-05-07 10:00:19,1988932.0,5346.588018092122,12.066777546944794,6.5361711712617625,5.53060637568303,13,11,1036,9598,145.0,66.0,79.6923076923077,28.083350160068466,2522.0,66.0,872.5454545454545,1090.3703594014087,2522,66,443.0833333333333,837.4997470978059,701405.8263888889,260,220,20,2,86475.30434782608,431567.0,3.0,131217.568898056,1988932.0,557534.0,16.0,165744.33333333334,186047.63974599502,1783508.0,782355.0,3.0,178350.8,231723.46200883502,0,0,0,0,1,0,0,0,0,0,0,0.8461538461538461,443.0833333333333,64480,508,431546.0,108.0,172602.42857142858,150890.32969000758,431498.0,10871.0,201902.42857142858,133441.16445177214,0.0,0.0,8840.0,6.0,0.0,28533.89368219569,79.6923076923077,872.5454545454545,0,13,11,1036,9598
100.121.79.73,100.123.225.126,17712,80,6,2026-05-07 10:00:19,2361559.0,4502.957580140915,10.162778063135411,5.504838117531681,4.65793994560373,13,11,1036,9598,145.0,66.0,79.6923076923077,28.083350160068466,2522.0,66.0,872.5454545454545,1090.3703594014087,2522,66,443.0833333333333,837.4997470978059,701405.8263888889,260,220,20,2,102676.47826086957,452765.0,3.0,159329.29577801784,2361559.0,644843.0,7.0,196796.58333333334,213935.7428927583,2148798.0,824770.0,3.0,214879.8,267080.1300156191,0,0,0,0,1,0,0,0,0,0,0,0.8461538461538461,443.0833333333333,64480,508,452713.0,81.0,246676.42857142858,175448.1077029063,452688.0,39425.0,277036.14285714284,146052.5804031143,0.0,0.0,8840.0,6.0,0.0,20020.382742611255,79.6923076923077,872.5454545454545,0,13,11,1036,9598
